case_id,variante,factor_descuento,duracion_dias,roi,uplift,valor_diagnostico,descuento_main,duracion_main,recomendacion_estable,q80_uplift_oof,q80_roi_oof,q90_uplift_oof,q90_roi_oof
caso_a_soporte_alto,champion_principal,0.09,14,2.9783107366119714,0.25029283462793017,2.9783107366119714,0.09,14,True,0.22978851897224853,0.0137055872360357,0.2954991024178136,0.03235687212070127
caso_a_soporte_alto,roi_challenger,0.09,5,2.9785266112711564,0.2533015214101969,2.979044004331267,0.09,14,False,0.22978851897224853,0.0137055872360357,0.2954991024178136,0.03235687212070127
caso_a_soporte_alto,uplift_challenger,0.09,5,2.9785266112711564,0.2533015214101969,0.2695887849957361,0.09,14,False,0.22978851897224853,0.0137055872360357,0.2954991024178136,0.03235687212070127
caso_b_alto_volumen,champion_principal,0.1,14,2.5120118036791683,0.17741043716331262,2.5120118036791683,0.1,14,True,0.22978851897224853,0.0137055872360357,0.2954991024178136,0.03235687212070127
caso_b_alto_volumen,roi_challenger,0.1,14,2.5120118036791683,0.17741043716331262,2.523927115186272,0.1,14,True,0.22978851897224853,0.0137055872360357,0.2954991024178136,0.03235687212070127
caso_b_alto_volumen,uplift_challenger,0.1,10,2.5122811964395546,0.17854352746974878,0.1937298723600849,0.1,14,True,0.22978851897224853,0.0137055872360357,0.2954991024178136,0.03235687212070127
caso_c_sku_reciente,champion_principal,0.12,21,1.765906073134446,0.11978205590646085,1.765906073134446,0.12,21,True,0.22978851897224853,0.0137055872360357,0.2954991024178136,0.03235687212070127
caso_c_sku_reciente,roi_challenger,0.12,7,1.766670781621834,0.12083248908716859,1.7502867629443353,0.12,21,False,0.22978851897224853,0.0137055872360357,0.2954991024178136,0.03235687212070127
caso_c_sku_reciente,uplift_challenger,0.12,7,1.766670781621834,0.12083248908716859,0.11001952553812662,0.12,21,False,0.22978851897224853,0.0137055872360357,0.2954991024178136,0.03235687212070127
caso_a_soporte_alto,ultimo_valor_contexto,0.08,14,4.083906797309469,0.23788652434218877,4.051549925188768,0.09,14,True,0.22978851897224853,0.0137055872360357,0.2954991024178136,0.03235687212070127
caso_b_alto_volumen,ultimo_valor_contexto,0.1,14,2.511656729308432,0.16570680854173003,2.469299857187731,0.1,14,True,0.22978851897224853,0.0137055872360357,0.2954991024178136,0.03235687212070127
caso_c_sku_reciente,ultimo_valor_contexto,0.12,21,1.765906073134446,0.09624185508292749,1.7035492010137447,0.12,21,True,0.22978851897224853,0.0137055872360357,0.2954991024178136,0.03235687212070127
caso_a_soporte_alto,flag_secundario_si,0.08,14,4.060843487681199,0.2331233027769763,4.028486615560498,0.09,14,True,0.22978851897224853,0.0137055872360357,0.2954991024178136,0.03235687212070127
caso_b_alto_volumen,flag_secundario_si,0.1,14,2.51108450516919,0.17855552073167613,2.4687276330484886,0.1,14,True,0.22978851897224853,0.0137055872360357,0.2954991024178136,0.03235687212070127
caso_c_sku_reciente,flag_secundario_si,0.12,21,1.7650415420904164,0.12092713947482436,1.7026846699697151,0.12,21,True,0.22978851897224853,0.0137055872360357,0.2954991024178136,0.03235687212070127
caso_a_soporte_alto,duraciones_todos_enteros,0.08,14,4.083994896752763,0.23197821920861283,4.051638024632062,0.09,14,True,0.22978851897224853,0.0137055872360357,0.2954991024178136,0.03235687212070127
caso_b_alto_volumen,duraciones_todos_enteros,0.1,14,2.5120118036791683,0.17741043716331262,2.469654931558467,0.1,14,True,0.22978851897224853,0.0137055872360357,0.2954991024178136,0.03235687212070127
caso_c_sku_reciente,duraciones_todos_enteros,0.12,21,1.765906073134446,0.11978205590646085,1.7035492010137447,0.12,21,True,0.22978851897224853,0.0137055872360357,0.2954991024178136,0.03235687212070127
caso_a_soporte_alto,intervalo_80,0.07,5,4.084792035577465,0.2187888953245927,4.071086448341429,0.09,14,False,0.22978851897224853,0.0137055872360357,0.2954991024178136,0.03235687212070127
caso_b_alto_volumen,intervalo_80,0.1,10,2.5122811964395546,0.17854352746974878,2.488575609203519,0.1,14,True,0.22978851897224853,0.0137055872360357,0.2954991024178136,0.03235687212070127
caso_c_sku_reciente,intervalo_80,0.12,7,1.766670781621834,0.12083248908716859,1.7229651943857984,0.12,21,False,0.22978851897224853,0.0137055872360357,0.2954991024178136,0.03235687212070127
