target,segmento,valor_segmento,cobertura,ancho_promedio,radio,n,metodo
uplift_real,global,global,0.899546827794562,0.5909982048356272,0.2954991024178136,1324,cuantil de residuos OOF absolutos
uplift_real,id_material,PD001,0.9375,0.5909982048356272,0.2954991024178136,96,cuantil de residuos OOF absolutos
uplift_real,id_material,PD002,0.9560439560439561,0.5909982048356272,0.2954991024178136,91,cuantil de residuos OOF absolutos
uplift_real,id_material,PD003,0.9574468085106383,0.5909982048356272,0.2954991024178136,94,cuantil de residuos OOF absolutos
uplift_real,id_material,PD004,0.9532710280373832,0.5909982048356272,0.2954991024178136,107,cuantil de residuos OOF absolutos
uplift_real,id_material,PD005,0.8737864077669902,0.5909982048356272,0.2954991024178136,103,cuantil de residuos OOF absolutos
uplift_real,id_material,PD006,0.8723404255319149,0.5909982048356272,0.2954991024178136,94,cuantil de residuos OOF absolutos
uplift_real,id_material,PD007,0.8936170212765957,0.5909982048356272,0.2954991024178136,94,cuantil de residuos OOF absolutos
uplift_real,id_material,PD008,0.9065420560747663,0.5909982048356272,0.2954991024178136,107,cuantil de residuos OOF absolutos
uplift_real,id_material,PD009,0.8695652173913043,0.5909982048356272,0.2954991024178136,92,cuantil de residuos OOF absolutos
uplift_real,id_material,PD010,0.8518518518518519,0.5909982048356272,0.2954991024178136,108,cuantil de residuos OOF absolutos
uplift_real,id_material,PD011,0.8725490196078431,0.5909982048356272,0.2954991024178136,102,cuantil de residuos OOF absolutos
uplift_real,id_material,PD012,0.8725490196078431,0.5909982048356272,0.2954991024178136,102,cuantil de residuos OOF absolutos
uplift_real,id_material,PD013,0.9134615384615384,0.5909982048356272,0.2954991024178136,104,cuantil de residuos OOF absolutos
uplift_real,id_material,PD014,0.8,0.5909982048356272,0.2954991024178136,15,cuantil de residuos OOF absolutos
uplift_real,id_material,PD015,0.8,0.5909982048356272,0.2954991024178136,15,cuantil de residuos OOF absolutos
uplift_real,soporte,soporte_alto,0.926829268292683,0.5909982048356272,0.2954991024178136,41,cuantil de residuos OOF absolutos
uplift_real,soporte,soporte_bajo,0.5,0.5909982048356272,0.2954991024178136,4,cuantil de residuos OOF absolutos
uplift_real,soporte,soporte_insuficiente,0.8461538461538461,0.5909982048356272,0.2954991024178136,26,cuantil de residuos OOF absolutos
uplift_real,soporte,soporte_medio,0.9010375099760575,0.5909982048356272,0.2954991024178136,1253,cuantil de residuos OOF absolutos
roi,global,global,0.899546827794562,0.06471374424140254,0.03235687212070127,1324,cuantil de residuos OOF absolutos
roi,id_material,PD001,0.90625,0.06471374424140254,0.03235687212070127,96,cuantil de residuos OOF absolutos
roi,id_material,PD002,0.9230769230769231,0.06471374424140254,0.03235687212070127,91,cuantil de residuos OOF absolutos
roi,id_material,PD003,0.925531914893617,0.06471374424140254,0.03235687212070127,94,cuantil de residuos OOF absolutos
roi,id_material,PD004,0.8504672897196262,0.06471374424140254,0.03235687212070127,107,cuantil de residuos OOF absolutos
roi,id_material,PD005,0.9029126213592233,0.06471374424140254,0.03235687212070127,103,cuantil de residuos OOF absolutos
roi,id_material,PD006,0.8617021276595744,0.06471374424140254,0.03235687212070127,94,cuantil de residuos OOF absolutos
roi,id_material,PD007,0.9042553191489362,0.06471374424140254,0.03235687212070127,94,cuantil de residuos OOF absolutos
roi,id_material,PD008,0.9345794392523364,0.06471374424140254,0.03235687212070127,107,cuantil de residuos OOF absolutos
roi,id_material,PD009,0.8695652173913043,0.06471374424140254,0.03235687212070127,92,cuantil de residuos OOF absolutos
roi,id_material,PD010,0.9259259259259259,0.06471374424140254,0.03235687212070127,108,cuantil de residuos OOF absolutos
roi,id_material,PD011,0.9019607843137255,0.06471374424140254,0.03235687212070127,102,cuantil de residuos OOF absolutos
roi,id_material,PD012,0.9019607843137255,0.06471374424140254,0.03235687212070127,102,cuantil de residuos OOF absolutos
roi,id_material,PD013,0.8942307692307693,0.06471374424140254,0.03235687212070127,104,cuantil de residuos OOF absolutos
roi,id_material,PD014,0.8,0.06471374424140254,0.03235687212070127,15,cuantil de residuos OOF absolutos
roi,id_material,PD015,0.9333333333333333,0.06471374424140254,0.03235687212070127,15,cuantil de residuos OOF absolutos
roi,soporte,soporte_alto,0.8780487804878049,0.06471374424140254,0.03235687212070127,41,cuantil de residuos OOF absolutos
roi,soporte,soporte_bajo,1.0,0.06471374424140254,0.03235687212070127,4,cuantil de residuos OOF absolutos
roi,soporte,soporte_insuficiente,0.8461538461538461,0.06471374424140254,0.03235687212070127,26,cuantil de residuos OOF absolutos
roi,soporte,soporte_medio,0.9010375099760575,0.06471374424140254,0.03235687212070127,1253,cuantil de residuos OOF absolutos
