target,fechas_comparadas,mae_champion,mae_challenger,diferencia_challenger_menos_champion,wilcoxon_statistic,p_value,conclusion,alcance
uplift_real,52,0.14073196918837236,0.1377169899858024,-0.003014979202569945,312.0,0.0005962652189088259,diferencia pequena,comparacion exploratoria por fecha; no prueba causal
roi,52,0.12135111019587562,0.11036844470048673,-0.0109826654953889,339.0,0.0014354774063649854,diferencia pequena,comparacion exploratoria por fecha; no prueba causal
