candidate_id,mae,rmse,wape,smape,bias,r2,mae_unidades,wape_unidades,error_abs_total_unidades,bias_unidades,n,segmento,valor_segmento,target,median_ae,spearman,sign_accuracy,precision_roi_positivo,recall_roi_positivo,f1_roi_positivo,precision_roi_negativo,recall_roi_negativo,f1_roi_negativo,falsos_positivos,falsos_negativos,false_positive_rate
uplift_real__ridge__temporal_weekly__log1p__alpha10.0,0.13279076866010892,0.16394247177964213,0.2890346332776002,0.35747683138737474,0.003021319645241714,0.5248519125891354,544.3048731299299,0.2923193535862946,240038.44905029907,37.03276640044863,441,subcadena,Cadena01,uplift_real,,,,,,,,,,,,
uplift_real__ridge__temporal_weekly__log1p__alpha10.0,0.14152319490172297,0.17911724331506057,0.29140168290834656,0.3546131526904144,-0.008082730433482236,0.5250484608172572,582.2012931685946,0.29192707146253843,254421.9651146758,-31.492225905412806,437,subcadena,Cadena02,uplift_real,,,,,,,,,,,,
uplift_real__ridge__temporal_weekly__log1p__alpha10.0,0.13820858398370348,0.1712036836652329,0.3341393694429753,0.4161321787394535,0.00314152943818715,0.4692995811762053,584.7632939048266,0.34689058867796385,260804.42908155266,51.63482471427124,446,subcadena,Cadena03,uplift_real,,,,,,,,,,,,
uplift_real__ridge__temporal_weekly__original__alpha100.0,0.13550679377675115,0.1671245712595012,0.29494637948919716,0.36231123721215747,0.00500949697802261,0.5062277939071067,557.4647893604155,0.2993868967880014,245841.9721079432,38.04149170887787,441,subcadena,Cadena01,uplift_real,,,,,,,,,,,,
uplift_real__ridge__temporal_weekly__original__alpha100.0,0.14328874749618764,0.18221382766197228,0.2950370233742502,0.35731618655627745,-0.009037863668731895,0.5084845559112042,586.702544345403,0.2941840865007762,256389.0118789411,-35.62173177952709,437,subcadena,Cadena02,uplift_real,,,,,,,,,,,,
uplift_real__ridge__temporal_weekly__original__alpha100.0,0.14265886952770687,0.1763094950971404,0.3448985825298398,0.42194128498686806,0.01746262234780267,0.4371733876583732,601.7041084006555,0.35694014064949836,268360.03234669234,104.72782775470247,446,subcadena,Cadena03,uplift_real,,,,,,,,,,,,
roi__hist_gradient_boosting__nonlinear__original__l2_regularization1.0_learning_rate0.05_max_iter220_max_leaf_nodes15_min_samples_leaf20,0.18683240771931914,1.6199609795084648,,,-0.11635162211815969,0.3784832439091741,,,,,441,subcadena,Cadena01,roi,0.005910226032172283,0.9870132207626915,0.9909297052154195,0.9885057471264368,0.9961389961389961,0.9923076923076923,0.9944444444444445,0.9944444444444445,0.9944444444444445,1.0,1.0,0.0022675736961451248
roi__hist_gradient_boosting__nonlinear__original__l2_regularization1.0_learning_rate0.05_max_iter220_max_leaf_nodes15_min_samples_leaf20,0.06682902458262725,0.43936869582207966,,,0.004333317611280838,0.8354161823743063,,,,,437,subcadena,Cadena02,roi,0.006083234927928949,0.9706718887059207,0.988558352402746,0.9877049180327869,0.9917695473251029,0.9897330595482546,0.9896373056994818,0.9845360824742269,0.9870801033591732,3.0,2.0,0.006864988558352402
roi__hist_gradient_boosting__nonlinear__original__l2_regularization1.0_learning_rate0.05_max_iter220_max_leaf_nodes15_min_samples_leaf20,0.08910187468157607,0.6645291566369332,,,-0.01294175226498474,0.6878567320309878,,,,,446,subcadena,Cadena03,roi,0.00624997748580397,0.9765388022803174,0.9910313901345291,0.9925373134328358,0.9925373134328358,0.9925373134328358,0.9887640449438202,0.9887640449438202,0.9887640449438202,2.0,2.0,0.004484304932735426
roi__hist_gradient_boosting__nonlinear__original__l2_regularization3.0_learning_rate0.04_max_iter300_max_leaf_nodes9_min_samples_leaf30,0.19500871945776987,1.6207761963600846,,,-0.12416708655085257,0.3778575517768883,,,,,441,subcadena,Cadena01,roi,0.004666373270948876,0.9868924704555122,0.9931972789115646,1.0,0.9961389961389961,0.9980657640232108,0.9836065573770492,1.0,0.9917355371900827,0.0,1.0,0.0
roi__hist_gradient_boosting__nonlinear__original__l2_regularization3.0_learning_rate0.04_max_iter300_max_leaf_nodes9_min_samples_leaf30,0.07795548410827818,0.4673519514642582,,,-0.003676155310031172,0.8137839840896695,,,,,437,subcadena,Cadena02,roi,0.005084762026338785,0.9705234194241938,0.9931350114416476,0.9918032786885246,0.9958847736625515,0.9938398357289527,0.9948186528497409,0.9896907216494846,0.9922480620155039,2.0,1.0,0.004576659038901602
roi__hist_gradient_boosting__nonlinear__original__l2_regularization3.0_learning_rate0.04_max_iter300_max_leaf_nodes9_min_samples_leaf30,0.1012722636768892,0.6717964271047123,,,-0.01194597898614733,0.6809922227216719,,,,,446,subcadena,Cadena03,roi,0.004438046101897051,0.9765672081240827,0.9955156950672646,0.996268656716418,0.996268656716418,0.996268656716418,0.9943820224719101,0.9943820224719101,0.9943820224719101,1.0,1.0,0.002242152466367713
