id_material,subcadena,promociones,uplift_medio,roi_medio,descuento_medio
PD015,Cadena02,10,0.2279,0.3142,0.2149
PD014,Cadena02,12,0.25733333333333336,0.51425,0.21150000000000002
PD014,Cadena01,12,0.24958333333333335,0.44708333333333333,0.21316666666666664
PD015,Cadena01,14,0.2052142857142857,1.0207857142857144,0.23142857142857146
PD014,Cadena03,14,0.1435,0.28264285714285714,0.22007142857142856
PD015,Cadena03,15,0.2276,0.4444,0.21280000000000002
PD006,Cadena02,37,0.5258378378378378,0.4579459459459459,0.2096756756756757
PD003,Cadena01,42,0.40397619047619043,0.4110714285714286,0.20795238095238094
PD007,Cadena02,42,0.5114285714285715,0.6342380952380952,0.21195238095238095
PD009,Cadena01,45,0.5471555555555555,0.6549555555555556,0.21522222222222223
PD002,Cadena01,46,0.3917826086956521,0.535695652173913,0.21500000000000002
PD002,Cadena02,46,0.40497826086956523,0.4715,0.20997826086956523
PD013,Cadena03,46,0.2952391304347826,0.29241304347826086,0.20804347826086958
PD003,Cadena03,47,0.3973191489361702,0.32576595744680853,0.21963829787234043
PD006,Cadena03,47,0.4588297872340426,0.6113617021276595,0.20061702127659575
PD007,Cadena03,48,0.5447916666666667,0.27189583333333334,0.2316041666666667
PD012,Cadena01,48,0.3213958333333333,0.8592291666666667,0.21820833333333334
PD009,Cadena02,48,0.5676458333333333,0.5036875,0.20129166666666667
PD001,Cadena01,48,0.40399999999999997,0.6251875,0.20343750000000002
PD011,Cadena02,49,0.6114489795918367,0.49479591836734693,0.21008163265306123
PD007,Cadena01,51,0.5504117647058824,0.17005882352941176,0.22868627450980392
PD011,Cadena01,51,0.5995098039215686,0.30388235294117644,0.21905882352941178
PD005,Cadena01,51,0.38533333333333336,0.4365882352941176,0.21284313725490198
PD002,Cadena03,51,0.3986470588235294,0.1506078431372549,0.2223921568627451
PD001,Cadena03,52,0.3591346153846154,0.5373269230769231,0.20798076923076922
PD004,Cadena03,52,0.36023076923076924,0.11544230769230768,0.21865384615384617
PD009,Cadena03,52,0.5248653846153846,0.6126153846153846,0.2126923076923077
PD010,Cadena03,52,0.5275576923076923,0.3633846153846154,0.2213846153846154
PD001,Cadena02,52,0.4504230769230769,0.3748076923076923,0.2173846153846154
PD011,Cadena03,52,0.5190384615384616,0.40784615384615386,0.2246153846153846
PD013,Cadena02,52,0.35196153846153844,0.39853846153846156,0.216
PD008,Cadena03,52,0.4979807692307692,0.3321153846153846,0.21311538461538462
PD005,Cadena03,53,0.3222641509433963,0.45988679245283015,0.21281132075471698
PD012,Cadena03,53,0.285188679245283,0.30066037735849055,0.21360377358490565
PD013,Cadena01,54,0.33935185185185185,0.46405555555555555,0.21451851851851853
PD003,Cadena02,54,0.3929444444444445,0.3091111111111111,0.21792592592592594
PD008,Cadena02,54,0.5803703703703703,0.24572222222222223,0.22742592592592595
PD012,Cadena02,54,0.38733333333333336,0.4910185185185185,0.21266666666666667
PD006,Cadena01,55,0.5396363636363636,0.31110909090909095,0.22630909090909093
PD004,Cadena02,56,0.41360714285714284,0.6056785714285714,0.20998214285714287
PD005,Cadena02,57,0.41619298245614034,0.4457719298245614,0.2102280701754386
PD004,Cadena01,58,0.3870172413793103,0.9440689655172414,0.21036206896551726
PD010,Cadena02,58,0.6633793103448276,0.3543793103448276,0.21767241379310345
PD010,Cadena01,58,0.6062931034482758,0.26775862068965517,0.22829310344827586
PD008,Cadena01,62,0.5371290322580645,0.35956451612903223,0.21645161290322582
