mae,rmse,wape,smape,bias,r2,mae_unidades,wape_unidades,error_abs_total_unidades,bias_unidades,n,target,candidate_id,modelo,familia,feature_set,target_transform,mae_fold_std,tiempo_entrenamiento_seg,params,worst_sku_mae,recent_sku_mae,smoothness_index,false_positive_rate,score_mae,score_stability,score_worst_sku,score_recent,score_smoothness,score_business_risk,score_interpretability,score_complexity,score_training_time,score_total,rol_seleccion,decision_fijada_antes_test,median_ae,spearman,sign_accuracy,precision_roi_positivo,recall_roi_positivo,f1_roi_positivo,precision_roi_negativo,recall_roi_negativo,f1_roi_negativo,falsos_positivos,falsos_negativos
0.14048454268937957,0.1753084302675622,0.31035429239928347,0.38074942767356335,0.004567954162531816,0.493099940731324,582.0173839377467,0.3152330657799772,770591.0163335766,36.192003198307475,1324,uplift_real,uplift_real__ridge__temporal_weekly__original__alpha100.0,ridge,ridge,temporal_weekly,original,0.0008628400762901053,0.07649869999977454,"{""alpha"": 100.0}",0.18943284588648907,0.1827901638663352,0.06511557029382768,0.0,3,5,4,4,5,3,5,5,5,4.1,champion,True,,,,,,,,,,,
0.13749803142590086,0.17150844480846883,0.3037565801373102,0.3762901677381719,-0.0006031941891606287,0.5148369052004523,570.4417245064408,0.3089634410030207,755264.8432465276,19.334198704303187,1324,uplift_real,uplift_real__ridge__temporal_weekly__log1p__alpha10.0,ridge,ridge,temporal_weekly,log1p,0.0011669989049302428,0.08250500000031025,"{""alpha"": 10.0}",0.21375280363980556,0.20898826106621524,0.0988984953776736,0.0,5,3,2,2,4,5,5,5,5,4.0,challenger,True,,,,,,,,,,,
0.1379278183086766,0.17201124439202795,0.30470605259408634,0.3774789355349212,0.007096115565119382,0.5119880965238024,572.5122089702876,0.31008485968088284,758006.1646766608,52.68161822267241,1324,uplift_real,uplift_real__ridge__temporal_weekly__original__alpha10.0,ridge,ridge,temporal_weekly,original,0.001144986613562427,0.07602029999975457,"{""alpha"": 10.0}",0.23422140878176304,0.22698208467491557,0.10898099018049756,0.0,4,4,1,1,4,4,5,5,5,3.6,no_seleccionado,True,,,,,,,,,,,
0.14149513017820092,0.17599427473939447,0.3125868523592372,0.3838525755716975,-0.0033139547978142496,0.4891259772103913,589.1684759181634,0.3191062501742469,780059.0621156483,-3.1828155346320384,1324,uplift_real,uplift_real__extra_trees__temporal_weekly__original__max_depth14_max_features1.0_min_samples_leaf8_n_estimators220,extra_trees,extra_trees,temporal_weekly,original,0.0010038424376759112,1.8894421999996212,"{""max_depth"": 14, ""max_features"": 1.0, ""min_samples_leaf"": 8, ""n_estimators"": 220}",0.18108628915798758,0.1744439342607654,0.26655149464304273,0.0,3,4,5,5,2,3,2,2,2,3.250000000000001,no_seleccionado,True,,,,,,,,,,,
0.13795473849253326,0.171915704902692,0.30476552386723965,0.3795752968058983,0.006308883903910128,0.5125300548127769,574.7498736830931,0.31129682675793635,760968.8327564154,51.92567682480308,1324,uplift_real,uplift_real__ridge__temporal_weekly__original__alpha1.0,ridge,ridge,temporal_weekly,original,0.0018174714459080483,0.09010870000020077,"{""alpha"": 1.0}",0.2520792321819755,0.24018230112802763,0.127777242972085,0.0,4,2,1,1,3,4,5,5,5,3.2,no_seleccionado,True,,,,,,,,,,,
0.1453820799755882,0.18079926164115342,0.3211737867711386,0.3935005174266029,0.0029671079954292066,0.4608494593874689,603.191006354624,0.3267011526315785,798624.8924135222,31.019490733217978,1324,uplift_real,uplift_real__hist_gradient_boosting__temporal_weekly__original__l2_regularization3.0_learning_rate0.04_max_iter300_max_leaf_nodes9_min_samples_leaf30,hist_gradient_boosting,hist_gradient_boosting,temporal_weekly,original,0.002441175434164427,1.2985672000002069,"{""l2_regularization"": 3.0, ""learning_rate"": 0.04, ""max_iter"": 300, ""max_leaf_nodes"": 9, ""min_samples_leaf"": 30}",0.2018394385229172,0.19884734782407507,0.23513495947546356,0.0,2,1,3,3,3,2,3,3,3,2.35,no_seleccionado,True,,,,,,,,,,,
0.14165987286398637,0.17631276321420353,0.31295079702315626,0.3846344543676523,-0.002217745598244116,0.48727529529947744,590.8303071328841,0.3200063335103853,782259.3266439384,3.371067044063447,1324,uplift_real,uplift_real__extra_trees__temporal_weekly__original__max_depth10_max_features0.8_min_samples_leaf5_n_estimators180,extra_trees,extra_trees,temporal_weekly,original,0.0014641749167338635,1.5223642999999356,"{""max_depth"": 10, ""max_features"": 0.8, ""min_samples_leaf"": 5, ""n_estimators"": 180}",0.18642739882146114,0.18062587221508603,0.2912138833539792,0.0,2,2,4,4,1,2,2,2,2,2.3000000000000003,no_seleccionado,True,,,,,,,,,,,
0.1455277258948413,0.18218773709625127,0.3214955434238302,0.3964022241607689,0.0005254334056502945,0.45253668455798113,604.3823308009657,0.3273463994367824,800202.2059804787,18.04224048636632,1324,uplift_real,uplift_real__hist_gradient_boosting__temporal_weekly__log1p__l2_regularization1.0_learning_rate0.05_max_iter220_max_leaf_nodes15_min_samples_leaf20,hist_gradient_boosting,hist_gradient_boosting,temporal_weekly,log1p,0.002083721247030298,1.4261100999999599,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 220, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 20}",0.20418780185682642,0.1950259583473876,0.2750387312414797,0.0,1,1,3,3,2,1,3,3,3,1.9,no_seleccionado,True,,,,,,,,,,,
0.14642626481485854,0.18268770158908648,0.32348056900299127,0.3966640790060015,0.0091319257168176,0.44952783459432144,608.0153740111282,0.32931413335823706,805012.3551907337,56.186187204256086,1324,uplift_real,uplift_real__hist_gradient_boosting__temporal_weekly__original__l2_regularization1.0_learning_rate0.05_max_iter220_max_leaf_nodes15_min_samples_leaf20,hist_gradient_boosting,hist_gradient_boosting,temporal_weekly,original,0.0014506010946081721,3.0794622000003073,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 220, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 20}",0.21620050025998266,0.2081675000688473,0.3026410152265743,0.0,1,3,2,2,1,1,3,3,3,1.9,no_seleccionado,True,,,,,,,,,,,
0.124798203501576,1.0483776781646874,,,-0.04659522029247078,0.5164822995505498,,,,,1324,roi,roi__hist_gradient_boosting__nonlinear__original__l2_regularization3.0_learning_rate0.04_max_iter300_max_leaf_nodes9_min_samples_leaf30,hist_gradient_boosting,hist_gradient_boosting,nonlinear,original,0.027696668067569943,1.661279999999806,"{""l2_regularization"": 3.0, ""learning_rate"": 0.04, ""max_iter"": 300, ""max_leaf_nodes"": 9, ""min_samples_leaf"": 30}",0.3796083684660621,0.02837900222339134,0.1830047663757485,0.0022658610271903325,4,5,4,4,2,4,3,3,3,3.7499999999999996,champion,True,0.004671638980403514,0.9780953829646805,0.9939577039274925,0.9961038961038962,0.9961038961038962,0.9961038961038962,0.9909747292418772,0.9945652173913043,0.9927667269439421,3.0,3.0
