mae,rmse,wape,smape,bias,r2,mae_unidades,wape_unidades,error_abs_total_unidades,bias_unidades,n,target,fold,candidate_id,modelo,familia,feature_set,target_transform,tiempo_entrenamiento_seg,median_ae,spearman,sign_accuracy,precision_roi_positivo,recall_roi_positivo,f1_roi_positivo,precision_roi_negativo,recall_roi_negativo,f1_roi_negativo,falsos_positivos,falsos_negativos,false_positive_rate
0.13845854662644128,0.17077152455152747,0.2918264176748207,0.3621866383445758,-0.002053999381778742,0.5519922733462255,540.7773545630815,0.28280532165677025,162773.98372348753,11.076688368843623,301,uplift_real,1,uplift_real__ridge__temporal_weekly__original__alpha1.0,ridge,ridge,temporal_weekly,original,0.020295400000122754,,,,,,,,,,,,
0.1365522242799462,0.16970124697745972,0.29225077690565837,0.36686898885588715,0.00872890006310077,0.5727615935042907,557.3916730091303,0.2937255322531465,187840.9938040769,18.525407785973435,337,uplift_real,2,uplift_real__ridge__temporal_weekly__original__alpha1.0,ridge,ridge,temporal_weekly,original,0.028357099999993807,,,,,,,,,,,,
0.13602115041643492,0.16822815093366528,0.30823888670427624,0.3845629216170323,0.008759010525010793,0.46079845482116844,578.8494684710679,0.322883217595078,191020.3245954524,80.85794699224162,330,uplift_real,3,uplift_real__ridge__temporal_weekly__original__alpha1.0,ridge,ridge,temporal_weekly,original,0.02158159999999043,,,,,,,,,,,,
0.14064879778030848,0.17822834581061361,0.32635684123598535,0.4016823074472962,0.008817705921836765,0.4406890291209583,616.1054231275239,0.3438784064804551,219333.5306333985,91.2621572632151,356,uplift_real,4,uplift_real__ridge__temporal_weekly__original__alpha1.0,ridge,ridge,temporal_weekly,original,0.01987460000009378,,,,,,,,,,,,
0.1377576251804591,0.17156850521557582,0.29034909901420886,0.3585695158851585,-2.4291044630597136e-05,0.5478008641489149,531.2895566618972,0.2778435759131329,159918.15655523108,16.35484381261456,301,uplift_real,1,uplift_real__ridge__temporal_weekly__original__alpha10.0,ridge,ridge,temporal_weekly,original,0.01885509999988244,,,,,,,,,,,,
0.13720514168867656,0.17054584050513225,0.29364815890337287,0.36517544977600463,0.009755115912139794,0.5684983279544038,559.5826769845252,0.2948801132058316,188579.36214378497,20.544899714602693,337,uplift_real,2,uplift_real__ridge__temporal_weekly__original__alpha10.0,ridge,ridge,temporal_weekly,original,0.019128499999851556,,,,,,,,,,,,
0.13681468345858386,0.16875045394236557,0.3100371198520345,0.38313552848486687,0.010373826620183107,0.4574451067036769,582.0609101300637,0.3246745652121265,192080.100342921,86.8611728181164,330,uplift_real,3,uplift_real__ridge__temporal_weekly__original__alpha10.0,ridge,ridge,temporal_weekly,original,0.018381200000021636,,,,,,,,,,,,
0.1397876628397554,0.1766965687104475,0.3243586920622128,0.3998703241356273,0.0075610442853941955,0.450261671719133,610.7543416705724,0.3408917076213173,217428.5456347238,82.1343716444431,356,uplift_real,4,uplift_real__ridge__temporal_weekly__original__alpha10.0,ridge,ridge,temporal_weekly,original,0.019655499999998938,,,,,,,,,,,,
0.14111099441165892,0.1775365690436414,0.2974169308940441,0.3655292537847025,-0.008686309694776849,0.5157939198795061,541.3390172924343,0.2830990492093331,162943.0442050227,-24.293284255116543,301,uplift_real,1,uplift_real__ridge__temporal_weekly__original__alpha100.0,ridge,ridge,temporal_weekly,original,0.018321400000104404,,,,,,,,,,,,
0.1410071397305707,0.17558704133823647,0.30178524262644285,0.37072794415791616,0.010149778039993267,0.5426116049253913,579.9998725285101,0.3056392470764507,195459.9570421079,20.836345210214702,337,uplift_real,2,uplift_real__ridge__temporal_weekly__original__alpha100.0,ridge,ridge,temporal_weekly,original,0.01859939999985727,,,,,,,,,,,,
0.14094518802099248,0.1732103807288506,0.3193972974710729,0.38550464456371447,0.012769202170434148,0.42838763101565625,599.5465050135588,0.3344280597647938,197850.3466544744,94.54854245962574,330,uplift_real,3,uplift_real__ridge__temporal_weekly__original__alpha100.0,ridge,ridge,temporal_weekly,original,0.019713799999863113,,,,,,,,,,,,
0.13903316591769482,0.1750816403468867,0.32260798223680365,0.39869687349258115,0.002888310712356615,0.46026448083671,602.0721023369989,0.33604572751038875,214337.6684319716,47.77422316806273,356,uplift_real,4,uplift_real__ridge__temporal_weekly__original__alpha100.0,ridge,ridge,temporal_weekly,original,0.019864099999949758,,,,,,,,,,,,
0.13887465583305628,0.17303144599504705,0.29270344305235546,0.3595237246100049,-0.008345494528829232,0.5400563076803919,538.6656421293,0.28170097897480884,162138.3582809193,-13.813444596101927,301,uplift_real,1,uplift_real__ridge__temporal_weekly__log1p__alpha10.0,ridge,ridge,temporal_weekly,log1p,0.02118350000000646,,,,,,,,,,,,
0.13711898572870104,0.16990908415060327,0.29346376684113684,0.3649444248645684,0.007992381549573702,0.5717144544932042,561.771984352295,0.296033800106808,189317.15872672343,12.695679802210268,337,uplift_real,2,uplift_real__ridge__temporal_weekly__log1p__alpha10.0,ridge,ridge,temporal_weekly,log1p,0.020465300000068964,,,,,,,,,,,,
0.1358134518993546,0.16813488374608887,0.3077682190215007,0.3800897797247015,0.0010237692722866642,0.46139616538050754,575.2258855448335,0.32086197687849677,189824.54222979507,44.86890697590661,330,uplift_real,3,uplift_real__ridge__temporal_weekly__log1p__alpha10.0,ridge,ridge,temporal_weekly,log1p,0.020068500000206768,,,,,,,,,,,,
0.13825445192354918,0.17478704795077502,0.3208010799143779,0.3976843890146548,-0.0037019991441910364,0.46207927091022927,601.0808539581172,0.33549246357184753,213984.78400908975,29.97511941721926,356,uplift_real,4,uplift_real__ridge__temporal_weekly__log1p__alpha10.0,ridge,ridge,temporal_weekly,log1p,0.020787700000028053,,,,,,,,,,,,
0.14822265911713725,0.18667482209127806,0.31240604991393034,0.3817480937029679,0.004777473179014669,0.4646644490761903,566.5977403852847,0.29630836954909523,170545.91985597071,39.72929650836023,301,uplift_real,1,uplift_real__hist_gradient_boosting__temporal_weekly__original__l2_regularization1.0_learning_rate0.05_max_iter220_max_leaf_nodes15_min_samples_leaf20,hist_gradient_boosting,hist_gradient_boosting,temporal_weekly,original,2.0963996000000407,,,,,,,,,,,,
0.14759639910753755,0.18273131012875582,0.3158876578914153,0.39062580462912605,0.026465772246735783,0.5046340450976312,600.6778554483487,0.3165358065931401,202428.43728609354,63.06061392409259,337,uplift_real,2,uplift_real__hist_gradient_boosting__temporal_weekly__original__l2_regularization1.0_learning_rate0.05_max_iter220_max_leaf_nodes15_min_samples_leaf20,hist_gradient_boosting,hist_gradient_boosting,temporal_weekly,original,0.3180452999999943,,,,,,,,,,,,
0.14537875328906286,0.18061300418101345,0.32944424398032435,0.39876565542470493,0.003150189925709337,0.37848470890193353,622.171008372087,0.3470480462013148,205316.43276278873,62.66055123207491,330,uplift_real,3,uplift_real__hist_gradient_boosting__temporal_weekly__original__l2_regularization1.0_learning_rate0.05_max_iter220_max_leaf_nodes15_min_samples_leaf20,hist_gradient_boosting,hist_gradient_boosting,temporal_weekly,original,0.3412348000001657,,,,,,,,,,,,
0.14477072791006598,0.18114422974575928,0.3359212322451735,0.41304354480108013,0.0019497817403063094,0.42223823976153396,636.8583294547212,0.3554616130060656,226721.56528588076,57.591530366333494,356,uplift_real,4,uplift_real__hist_gradient_boosting__temporal_weekly__original__l2_regularization1.0_learning_rate0.05_max_iter220_max_leaf_nodes15_min_samples_leaf20,hist_gradient_boosting,hist_gradient_boosting,temporal_weekly,original,0.32378250000010667,,,,,,,,,,,,
0.14785535025456692,0.18490983569410402,0.3116318800836395,0.37940492198979453,-0.003479451319619736,0.47473965032869114,565.228955081077,0.29559254858327777,170133.91547940415,13.203677612873383,301,uplift_real,1,uplift_real__hist_gradient_boosting__temporal_weekly__original__l2_regularization3.0_learning_rate0.04_max_iter300_max_leaf_nodes9_min_samples_leaf30,hist_gradient_boosting,hist_gradient_boosting,temporal_weekly,original,0.27410950000012235,,,,,,,,,,,,
0.14762190775085895,0.182052698526288,0.31594225180863494,0.3929046630730684,0.011594889423979429,0.5083065069364856,603.8953266673798,0.3182312991741776,203512.72508690698,7.368301763759557,337,uplift_real,2,uplift_real__hist_gradient_boosting__temporal_weekly__original__l2_regularization3.0_learning_rate0.04_max_iter300_max_leaf_nodes9_min_samples_leaf30,hist_gradient_boosting,hist_gradient_boosting,temporal_weekly,original,0.28875859999993736,,,,,,,,,,,,
0.14197458818782835,0.1769218295899775,0.3217300314644795,0.38932872185368167,0.0002749586931525847,0.40362884584426306,604.7532088881973,0.3373323680378039,199568.5589331051,48.06358288638866,330,uplift_real,3,uplift_real__hist_gradient_boosting__temporal_weekly__original__l2_regularization3.0_learning_rate0.04_max_iter300_max_leaf_nodes9_min_samples_leaf30,hist_gradient_boosting,hist_gradient_boosting,temporal_weekly,original,0.39520280000010644,,,,,,,,,,,,
0.14432925968267218,0.1796456132882296,0.33489686390024576,0.40984958956897494,0.002745931821720197,0.43175840718185643,633.1732947025451,0.353404815856041,225409.69291410607,52.67246832137777,356,uplift_real,4,uplift_real__hist_gradient_boosting__temporal_weekly__original__l2_regularization3.0_learning_rate0.04_max_iter300_max_leaf_nodes9_min_samples_leaf30,hist_gradient_boosting,hist_gradient_boosting,temporal_weekly,original,0.3404963000000407,,,,,,,,,,,,
0.14722241970689617,0.18628416115400606,0.3102978645326743,0.37866957722305783,-0.002547459910261232,0.4669027354609937,567.8634622078185,0.29697029236100525,170926.90212455337,17.174453342514386,301,uplift_real,1,uplift_real__hist_gradient_boosting__temporal_weekly__log1p__l2_regularization1.0_learning_rate0.05_max_iter220_max_leaf_nodes15_min_samples_leaf20,hist_gradient_boosting,hist_gradient_boosting,temporal_weekly,log1p,0.3455134000000726,,,,,,,,,,,,
0.14738226913410613,0.1823617419955711,0.31542937424628165,0.3946174498671907,0.018757986773456716,0.5066357419389522,603.9427847060243,0.3182563078679482,203528.7184459302,32.497712218922594,337,uplift_real,2,uplift_real__hist_gradient_boosting__temporal_weekly__log1p__l2_regularization1.0_learning_rate0.05_max_iter220_max_leaf_nodes15_min_samples_leaf20,hist_gradient_boosting,hist_gradient_boosting,temporal_weekly,log1p,0.36585139999988314,,,,,,,,,,,,
0.14220383839441997,0.1781170387529496,0.32224953764598274,0.39086190877443605,-0.005702618352295333,0.3955439654437686,604.8471256826392,0.3373847549854083,199599.55147527094,17.21194604402793,330,uplift_real,3,uplift_real__hist_gradient_boosting__temporal_weekly__log1p__l2_regularization1.0_learning_rate0.05_max_iter220_max_leaf_nodes15_min_samples_leaf20,hist_gradient_boosting,hist_gradient_boosting,temporal_weekly,log1p,0.3661118999998507,,,,,,,,,,,,
0.14542041961978025,0.18225168602556713,0.337428755505278,0.4182204818649172,-0.008362691641370318,0.4151521537820051,635.2444773447309,0.3545608436392559,226147.03393472417,5.861642515578792,356,uplift_real,4,uplift_real__hist_gradient_boosting__temporal_weekly__log1p__l2_regularization1.0_learning_rate0.05_max_iter220_max_leaf_nodes15_min_samples_leaf20,hist_gradient_boosting,hist_gradient_boosting,temporal_weekly,log1p,0.3486334000001534,,,,,,,,,,,,
0.1399966048430268,0.1756952530512652,0.2950681534178114,0.3644996640147886,-0.010772545947071305,0.5257856970416098,544.1189945662804,0.2845528681617997,163779.8173644504,-43.79704191035891,301,uplift_real,1,uplift_real__extra_trees__temporal_weekly__original__max_depth10_max_features0.8_min_samples_leaf5_n_estimators180,extra_trees,extra_trees,temporal_weekly,original,0.24864290000004985,,,,,,,,,,,,
0.14237962187668252,0.1759344044575102,0.30472264606754695,0.37707832382191575,-0.008231358339276526,0.5408001157163248,587.5920787570319,0.3096400689821839,198018.53054111975,-56.79994636732892,337,uplift_real,2,uplift_real__extra_trees__temporal_weekly__original__max_depth10_max_features0.8_min_samples_leaf5_n_estimators180,extra_trees,extra_trees,temporal_weekly,original,0.3305654999999206,,,,,,,,,,,,
0.14037611762438193,0.17396536524223696,0.3181077213649264,0.3834782877428332,0.004477022354482861,0.4233937153289479,595.8066036364851,0.3323419364185854,196616.17920004006,54.01347330607947,330,uplift_real,3,uplift_real__extra_trees__temporal_weekly__original__max_depth10_max_features0.8_min_samples_leaf5_n_estimators180,extra_trees,extra_trees,temporal_weekly,original,0.42629809999993995,,,,,,,,,,,,
0.1435748377125811,0.17932743884733637,0.33314632799091976,0.40988311413258355,0.004502223430758713,0.43376947595579785,628.777526793057,0.3509513239580158,223844.79953832825,53.26780369702712,356,uplift_real,4,uplift_real__extra_trees__temporal_weekly__original__max_depth10_max_features0.8_min_samples_leaf5_n_estimators180,extra_trees,extra_trees,temporal_weekly,original,0.5168578000000252,,,,,,,,,,,,
0.1411754536973447,0.17707108307199457,0.2975527904916341,0.3656064572838586,-0.014123028368863075,0.5183296865734244,547.3083072980662,0.2862207534853363,164739.80049671791,-60.15648447237265,301,uplift_real,1,uplift_real__extra_trees__temporal_weekly__original__max_depth14_max_features1.0_min_samples_leaf8_n_estimators220,extra_trees,extra_trees,temporal_weekly,original,0.2783423999999286,,,,,,,,,,,,
