id_material,count,mean,std,min,1%,5%,50%,95%,99%,max
PD001,152.0,0.5094736842105263,1.162653233921985,-0.84,-0.79784,-0.64405,0.11299999999999999,2.6759499999999954,4.732450000000007,6.222
PD002,143.0,0.37770629370629366,1.1656904067533242,-4.8,-1.61178,-0.6929,0.103,2.875600000000001,3.6064200000000093,4.164
PD003,143.0,0.34453146853146854,1.2050135689972732,-6.692,-2.0522,-0.7353,0.153,2.6078000000000015,3.921,4.164
PD004,166.0,0.5703433734939759,2.1841495278867575,-8.118,-1.6200499999999998,-0.703,0.19,2.664,4.716,22.552
PD005,161.0,0.44750931677018635,0.9938879345656408,-0.883,-0.8698,-0.676,0.284,2.475,3.639800000000006,5.627
PD006,139.0,0.4517194244604317,1.0777745390102684,-0.923,-0.82552,-0.6309,0.133,2.5543999999999993,4.150460000000003,4.618
PD007,141.0,0.3429929078014184,1.1884443703337197,-0.869,-0.8406,-0.767,0.064,2.245,3.3791999999999973,9.333
PD008,168.0,0.3144761904761905,0.9949485946603162,-3.07,-1.3565800000000001,-0.7166,0.118,2.339900000000001,2.855150000000008,4.618
PD009,145.0,0.5896965517241379,1.8830648345632133,-5.091,-2.286,-0.6704,0.153,2.737,9.286360000000013,12.125
PD010,168.0,0.3272619047619048,1.0264684310670193,-0.869,-0.83793,-0.69755,0.0885,2.1787000000000005,3.7223900000000185,6.785
PD011,152.0,0.4009934210526315,1.0315206706586961,-0.852,-0.76343,-0.71375,0.093,2.3044499999999997,3.6226400000000014,3.696
PD012,155.0,0.5399548387096774,2.316301026636901,-0.905,-0.88974,-0.7649,0.123,2.014699999999998,3.9948400000000066,26.857
PD013,152.0,0.38969736842105257,1.1314783217436428,-6.055,-0.84258,-0.6858,0.22249999999999998,2.206,3.474100000000011,6.654
PD014,38.0,0.4077105263157894,1.0500483877626585,-0.828,-0.7776799999999999,-0.5815,0.153,2.9790499999999995,3.5481100000000017,3.769
PD015,39.0,0.6179230769230769,2.5157619373673006,-0.797,-0.78446,-0.719,0.074,1.4229000000000005,10.165639999999964,15.304
