banda_elasticidad,"[10%,15%)","[15%,20%)","[20%,25%)","[25%,30%)","[30%,35%)","[35%,40%]","[5%,10%)"
"(-1.51, -0.003]",0.212,0.2885,0.362,0.3995,0.5335000000000001,0.6924999999999999,0.188
"(-1.918, -1.51]",0.225,0.294,0.4195,0.489,0.571,0.5914999999999999,0.1
"(-2.346, -1.918]",0.323,0.437,0.518,0.624,0.833,0.826,0.185
"(-3.585, -2.346]",0.3005,0.441,0.542,0.6915,0.8145,0.91,0.167
